PLAYER,TEAM,SPAN,MATCH,INNINGS,NOT OUT,RUNS,HIGH SCORE,AVERAGE,BALL FACED,STRIKE RATE,HUNDRED,FIFTY,DUCK,FOURS,SIXES
V Kohli,(Royal Challengers Bangalore),2008-2022,223,215,32,6624,113,36.19,5129,129.14,5,44,9,578,218
S Dhawan,"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Mumbai Indians, Punjab Kings, Sunrisers Hyderabad)",2008-2022,206,205,27,6244,106*,35.07,4942,126.34,2,47,10,701,136
DA Warner,"(Delhi Capitals, Delhi Daredevils, Sunrisers Hyderabad)",2009-2022,162,162,22,5881,126,42,4180,140.69,4,55,9,577,216
RG Sharma,"(Deccan Chargers, Mumbai Indians)",2008-2022,227,222,28,5879,109*,30.3,4526,129.89,1,40,14,519,240
SK Raina,"(Chennai Super Kings, Gujarat Lions)",2008-2021,205,200,30,5528,100*,32.51,4043,136.73,1,39,8,506,203
AB de Villiers,"(Delhi Daredevils, Royal Challengers Bangalore)",2008-2021,184,170,40,5162,133*,39.7,3403,151.68,3,40,10,413,251
MS Dhoni,"(Chennai Super Kings, Rising Pune Supergiant, Rising Pune Supergiants)",2008-2022,234,206,79,4978,84*,39.19,3682,135.19,0,24,4,346,229
CH Gayle,"(Kings XI Punjab, Kolkata Knight Riders, Punjab Kings, Royal Challengers Bangalore)",2009-2021,142,141,16,4965,175*,39.72,3333,148.96,6,31,8,404,357
RV Uthappa,"(Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore)",2008-2022,205,197,17,4952,88,27.51,3799,130.35,0,27,8,481,182
KD Karthik,"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore)",2008-2022,229,208,45,4376,97*,26.84,3299,132.64,0,20,13,426,134
G Gambhir,"(Delhi Daredevils, Kolkata Knight Riders)",2008-2018,154,152,16,4217,93,31,3404,123.88,0,36,12,492,59
AT Rayudu,"(Chennai Super Kings, Mumbai Indians)",2010-2022,188,175,31,4190,100*,29.09,3296,127.12,1,22,13,349,164
AM Rahane,"(Delhi Capitals, Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",2008-2022,158,148,16,4074,105*,30.86,3376,120.67,2,28,13,431,80
KL Rahul,"(Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",2013-2022,109,100,19,3889,132*,48.01,2855,136.21,4,31,4,327,164
SR Watson,"(Chennai Super Kings, Rajasthan Royals, Royal Challengers Bangalore)",2008-2020,145,141,16,3874,117*,30.99,2809,137.91,4,21,7,375,190
MK Pandey,"(Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",2008-2022,160,149,27,3648,114*,29.9,3002,121.51,1,21,12,318,105
SV Samson,"(Delhi Daredevils, Rajasthan Royals)",2013-2022,138,134,13,3526,119,29.14,2598,135.71,3,17,8,279,158
KA Pollard,(Mumbai Indians),2010-2022,189,171,52,3412,87*,28.67,2316,147.32,0,16,5,218,223
F du Plessis,"(Chennai Super Kings, Rising Pune Supergiant, Rising Pune Supergiants, Royal Challengers Bangalore)",2012-2022,116,109,10,3403,96,34.37,2606,130.58,0,25,7,314,109
YK Pathan,"(Kolkata Knight Riders, Rajasthan Royals, Sunrisers Hyderabad)",2008-2019,174,154,44,3204,100,29.12,2241,142.97,1,13,9,262,158
BB McCullum,"(Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Kolkata Knight Riders, Royal Challengers Bangalore)",2008-2018,109,109,5,2880,158*,27.69,2186,131.74,2,13,6,293,130
PA Patel,"(Chennai Super Kings, Deccan Chargers, Kochi Tuskers Kerala, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",2008-2019,139,137,11,2848,81,22.6,2358,120.78,0,13,13,365,49
RR Pant,"(Delhi Capitals, Delhi Daredevils)",2016-2022,98,97,15,2838,128*,34.6,1918,147.96,1,15,4,260,129
JC Buttler,"(Mumbai Indians, Rajasthan Royals)",2016-2022,82,81,10,2831,124,39.87,1891,149.7,5,15,1,277,135
SS Iyer,"(Delhi Capitals, Delhi Daredevils, Kolkata Knight Riders)",2015-2022,101,101,13,2776,96,31.54,2214,125.38,0,19,5,237,99
Q de Kock,"(Delhi Daredevils, Lucknow Super Giants, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",2013-2022,92,92,6,2764,140*,32.13,2064,133.91,2,19,3,277,106
Yuvraj Singh,"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",2008-2019,132,126,15,2750,83,24.77,2120,129.71,0,13,4,217,149
V Sehwag,"(Delhi Daredevils, Kings XI Punjab)",2008-2015,104,104,5,2728,122,27.55,1755,155.44,2,16,7,334,106
SA Yadav,"(Kolkata Knight Riders, Mumbai Indians)",2012-2022,123,108,20,2644,82,30.04,1933,136.78,0,16,6,284,84
M Vijay,"(Chennai Super Kings, Delhi Daredevils, Kings XI Punjab)",2009-2020,106,106,5,2619,127,25.93,2149,121.87,2,13,5,247,91
RA Jadeja,"(Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Rajasthan Royals)",2008-2022,210,161,67,2502,62*,26.61,1960,127.65,0,2,8,182,90
SPD Smith,"(Delhi Capitals, Pune Warriors, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",2012-2021,103,93,21,2485,101,34.51,1940,128.09,1,11,1,225,60
SE Marsh,(Kings XI Punjab),2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78
DA Miller,"(Gujarat Titans, Kings XI Punjab, Rajasthan Royals)",2012-2022,105,102,35,2455,101*,36.64,1783,137.68,1,12,3,169,113
JH Kallis,"(Kolkata Knight Riders, Royal Challengers Bangalore)",2008-2014,98,96,11,2427,89*,28.55,2222,109.22,0,17,9,255,44
WP Saha,"(Chennai Super Kings, Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders, Sunrisers Hyderabad)",2008-2022,144,119,23,2427,115*,25.28,1898,127.87,1,11,5,231,76
DR Smith,"(Chennai Super Kings, Deccan Chargers, Gujarat Lions, Mumbai Indians)",2008-2017,91,89,5,2385,87*,28.39,1764,135.2,0,17,8,245,117
SR Tendulkar,(Mumbai Indians),2008-2013,78,78,11,2334,100*,34.83,1948,119.81,1,13,4,295,29
MA Agarwal,"(Delhi Daredevils, Kings XI Punjab, Punjab Kings, Rising Pune Supergiant, Royal Challengers Bangalore)",2011-2022,113,107,4,2327,106,22.59,1733,134.27,1,12,7,226,91
GJ Maxwell,"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Royal Challengers Bangalore)",2012-2022,110,106,15,2319,95,25.48,1507,153.88,0,13,12,197,127
N Rana,"(Kolkata Knight Riders, Mumbai Indians)",2016-2022,91,85,8,2181,87,28.32,1625,134.21,0,15,7,190,111
R Dravid,"(Rajasthan Royals, Royal Challengers Bangalore)",2008-2013,89,82,5,2174,75*,28.23,1882,115.51,0,11,3,268,28
KS Williamson,(Sunrisers Hyderabad),2015-2022,76,75,17,2101,89,36.22,1667,126.03,0,18,2,181,64
AJ Finch,"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",2010-2022,92,90,7,2091,88*,25.19,1631,128.2,0,15,8,214,78
AC Gilchrist,"(Deccan Chargers, Kings XI Punjab)",2008-2013,80,80,4,2069,109*,27.22,1495,138.39,2,11,7,239,92
AD Russell,"(Delhi Daredevils, Kolkata Knight Riders)",2012-2022,98,82,15,2035,88*,30.37,1144,177.88,0,10,4,137,175
JP Duminy,"(Deccan Chargers, Delhi Daredevils, Mumbai Indians)",2009-2018,83,77,26,2029,78*,39.78,1636,124.02,0,14,1,126,79
MEK Hussey,"(Chennai Super Kings, Mumbai Indians)",2008-2015,59,58,7,1977,116*,38.76,1612,122.64,1,15,1,198,52
HH Pandya,"(Gujarat Titans, Mumbai Indians)",2015-2022,107,100,35,1963,91,30.2,1330,147.59,0,8,5,146,110
Shubman Gill,"(Gujarat Titans, Kolkata Knight Riders)",2018-2022,74,71,12,1900,96,32.2,1517,125.24,0,14,3,188,47
